Gene	33	34	35	36	37	41	42	43	46	47	48	50	53	54	59	60	61	63	64	65	66	67	70	71	86	87	88	89	92	94	95	96	97	99	100	115	117	118	121	123	125	127	128	129	76	104	105	106	107
KIF20B	3.5248994	3.217462	3.2666715	3.639057	3.9566013	3.342881	4.5434081	4.0777715	2.4747895	4.1884826	3.3914708	3.5327029	3.9044249	3.7683261	3.5860674	3.567229	2.7865755	2.8705735	3.8456366	3.8487762	4.0412187	3.5973513	2.8931656	3.4967244	3.4809306	3.7246319	3.2132493	2.2333373	3.3949292	4.1236292	3.8296103	3.5147941	3.7778529	3.3647583	3.3918135	3.4876688	3.4230256	3.8785175	1.6422925	3.3664595	3.4286335	3.3883924	3.4139986	3.2014868	3.9114151	4.1737864	2.3963947	2.5566031	2.4455388
IGFBP2	8.1999669	6.8173995	4.9959479	6.1870184	6.122515	4.6497016	6.9545164	7.2766138	6.6308639	8.1708598	6.7058808	6.0497807	7.6053547	4.3199528	6.7724332	4.3153035	7.2098838	7.8305241	6.8739261	6.7687575	4.8358788	7.0445648	7.3287652	7.1207889	4.7491094	4.8591024	4.9432775	6.110679	4.9393905	7.3720045	7.6154863	4.0483167	7.1675782	5.4000026	4.3882693	6.8446401	4.0394602	4.4160717	7.7695679	5.4293974	6.9205541	7.3267439	7.5023098	8.0778511	7.5068392	7.6855923	7.6007482	8.1228768	8.2797935
IGF1R	3.8574622	4.298414	3.949393	4.0887832	3.519847	3.727049	4.2229277	4.7209808	3.2870986	3.5051631	4.0928319	3.7734662	4.5158276	3.746317	4.1332947	3.7488545	3.5997024	4.1428042	4.2545106	3.7893022	4.624988	3.9656601	3.6981217	4.5404462	3.7422272	3.790146	2.7244034	4.3623355	4.0130768	3.3222995	3.1820779	3.3751043	3.6258054	3.8568387	3.6441186	3.5458178	3.844517	3.666148	5.0991298	4.5607273	3.9956438	4.4170959	4.2230821	4.032228	4.8318099	4.2506507	4.6803596	4.62367	4.5835084
FOLH1	3.7865773	5.1299193	3.0162221	3.5969993	4.567795	3.9836343	2.2518731	3.8449546	3.7286933	3.6711726	3.9232508	3.1118212	4.1768178	4.3834108	3.8540314	2.9734476	3.3458275	4.7810242	3.7245417	3.5822073	5.4571883	5.2896375	2.7062198	3.3414233	5.1575513	4.0001147	4.041795	5.7745714	3.8838072	3.5126945	3.1655837	4.1742702	3.1306959	3.4787633	3.8306788	3.3880916	3.4845259	3.2111331	5.1785731	5.234898	3.9749102	3.4391708	4.7207679	4.5440866	2.2077087	3.6652468	4.4391089	4.2239823	4.1554391
XBP1	9.6528726	8.7264793	10.1340632	8.5542329	9.7685304	8.8940597	8.7115394	8.8061892	9.0735112	7.5788735	8.4263988	8.3421284	9.7991578	9.2794863	9.4023969	9.3642352	9.7989497	9.251	8.6893224	8.2335757	8.4622697	9.2684834	8.8194617	9.9787982	9.0070613	8.8249148	9.0596028	8.2202671	8.6134688	8.9121899	9.1505589	9.1001825	9.0837653	8.2099671	9.4506229	7.557423	8.3407866	9.5420335	10.1430061	9.4697363	9.8157046	10.0019155	8.8241261	8.446416	9.9422179	10.1463943	10.3762321	10.1264952	10.1397853
MAGEA9	3.929953	4.1527783	5.3835027	4.0624108	3.5718473	4.1405122	3.0649716	3.1944831	4.4665603	3.6371802	4.4659119	3.99172	4.0721784	3.67384	3.1906748	4.0405409	4.5300766	4.318921	4.739667	3.1683863	4.2340894	3.8923637	4.3504948	3.0708829	3.8181591	4.3099245	3.3568954	4.5337271	3.0106229	3.552691	4.044813	3.9678727	3.6891521	4.3002236	4.3094133	3.8580345	4.6036136	3.6135483	3.6926825	4.2591902	3.9103491	3.3155817	4.3589921	4.2994943	4.9140637	4.480759	5.1759251	4.4222012	3.8072014
SPA17	5.7442833	5.7469509	5.9003727	6.3373364	5.4544483	6.4623134	5.4449243	4.5258359	5.3151868	5.5237582	6.4851048	6.967844	5.8199388	6.6701956	5.9422554	5.6313624	5.3060318	5.6076587	5.8573894	5.3496215	5.64955	6.3335462	5.72515	4.6521803	5.8814289	6.8895611	6.5863851	6.5465544	5.9162685	5.0815606	6.2294251	6.8171613	5.8443511	5.3799946	5.7955506	5.9588544	6.7665065	6.2942688	5.3209807	6.477616	5.5339833	6.1029571	5.871148	6.2557176	4.9829024	4.9777427	4.3395501	4.1971239	4.4614529
AKAP4	4.7801369	4.3708518	3.7963791	3.1953632	3.4629679	3.858812	4.0418494	4.2768747	3.5160388	3.3310405	3.0103181	3.508173	4.2957682	4.5264083	4.3096933	4.7644406	4.1647065	4.3931983	4.2020847	3.8168987	2.6107799	4.5246113	4.017978	3.8795606	3.5149795	4.9872642	5.3234325	4.499713	4.8478884	4.5884526	3.2470084	3.6936327	3.8615379	3.7721055	4.077662	4.7590523	4.2494462	3.6586745	4.3814685	4.2765472	4.522378	4.2094228	3.7098176	4.3146771	4.9522044	3.6950358	4.1148421	3.9018909	3.6377674
PTTG1	6.8077905	7.0973373	6.4432669	6.2081038	5.9133774	6.2193396	5.7658022	6.1010985	6.1423795	7.4479487	7.3567755	6.6067964	8.3409773	6.7839692	6.8760357	7.5555286	6.1891744	6.4415027	6.3806563	6.4982888	5.6747278	5.6355694	6.2403931	6.0532784	7.9148892	6.7976963	7.3575274	6.7810883	5.5442604	5.9436522	6.6951199	6.0522598	6.4210843	6.7402606	6.1752699	6.2693686	6.528019	6.1570996	5.5553006	6.1393224	6.4246552	6.8728936	6.4686458	5.7481577	3.952736	3.3141118	5.1304346	4.3005993	4.3149758
HSP90B1	7.3862245	6.6883936	7.6272047	5.5450752	6.6256123	7.3190299	6.5839855	5.7852309	6.8051821	6.4282234	6.948613	6.1526836	7.3162692	6.0789843	6.1440681	6.730946	6.6813804	6.8750773	6.6855908	6.8293414	5.7808805	5.99643	7.1785029	5.8502113	5.6960109	5.2809966	4.8639538	6.9274553	5.2238599	5.3946509	7.8114718	5.8572222	6.7873226	7.1865075	6.5428427	6.0874853	6.4930369	7.0565334	4.5612974	6.4940684	6.5157315	7.2120649	6.9499283	6.7898711	5.8428756	6.0465491	5.5187904	5.2780683	5.8256832
NRP1	4.5625093	4.9485842	4.6669705	3.8515727	5.2082433	4.9316418	4.8923299	4.7867719	9.0130865	3.6999616	4.4047903	4.7369409	3.3600811	4.7209364	4.637611	4.3880997	4.546078	4.3481659	5.0811126	5.1151251	3.7151773	4.1682895	4.955996	5.241261	4.9320141	4.1141231	3.9637233	4.4299142	4.4651	4.1056634	5.1155118	2.2058637	4.8283406	5.120696	4.7072253	4.7838196	3.9781331	4.6404529	4.3702023	3.7011386	3.279234	4.4062904	3.6407388	4.7476333	3.6699586	4.4063863	4.3705335	3.463347	4.7136884
CHI3L1	6.2771206	3.9659951	3.4257625	3.8562633	3.8065692	3.4987694	2.7426409	3.2529392	4.221175	3.7694307	3.0473625	3.7277451	3.9658543	3.1478281	3.7352833	3.3829703	3.6851927	3.7184374	3.8448116	3.699397	4.1519037	3.8032733	3.7498329	3.3562495	3.2285548	3.5527631	3.9267673	3.9262298	3.362743	4.3652281	4.633774	4.0396841	3.9478395	3.327489	4.2052769	3.8410816	3.2676865	3.808604	3.6614088	3.7415997	3.0346432	3.8705253	3.7730812	3.6067003	3.3546528	3.2672196	4.8086089	3.3111417	3.4295748
JUP	4.73958	5.2710263	4.0337473	5.6106474	5.8702221	4.294275	4.2098786	4.717513	4.6298616	4.9146414	4.5260276	4.6547126	4.3329394	4.7324394	4.1082526	4.0269543	4.7459261	4.4807869	4.3432081	4.6319659	4.6480732	4.2788398	4.6082743	4.3817512	4.9358188	4.3162846	4.4235434	3.742806	5.177182	4.348769	4.5595128	5.4946185	4.5095353	5.3388858	4.4863657	4.9522882	5.1717049	4.8470197	3.7147465	4.3059996	4.5431688	4.3366536	4.2227766	4.5982104	3.9932929	4.6111853	4.8840523	3.5472277	5.0017982
ITGB8	2.6495278	3.2448091	5.8813792	5.6997732	4.0682836	4.3047708	3.3907326	3.2413091	4.3504536	3.7857912	2.8265775	6.7026269	2.6422021	6.5397049	3.6106891	2.9893105	5.4215825	3.7944418	5.9622341	4.6421505	1.878136	3.0468543	5.5895088	2.6796753	6.7184938	3.4672707	3.3858174	3.4313153	3.2301094	2.1125739	6.2415987	6.4954924	3.8507362	4.1045013	5.6777247	4.7026615	3.2944196	5.2370698	4.4212937	3.5087557	3.2740985	2.3136166	2.7705441	5.6163944	1.5110401	5.8120268	2.8660158	4.154286	3.4722965
SILV	3.9416375	3.9815058	4.7595347	4.06457	4.288531	3.9244251	4.0258064	3.8482709	4.3814855	4.0975641	4.0483523	3.5642924	4.422866	4.3585171	4.0466871	3.6072283	3.9139207	3.6118729	4.3513352	4.0483898	4.1442338	3.5835584	3.9186102	4.0278411	3.4040558	4.1296447	3.8737057	4.3916767	3.7947492	3.7154259	3.8714866	3.5461309	3.9800768	3.8362775	4.0750013	4.1467015	3.7636046	4.3869389	3.8847044	4.2402004	3.7507617	4.5642078	4.3790812	4.369238	4.1569483	4.6689877	4.9248255	5.0312818	4.2810353
PRAME	3.2979859	3.6876508	5.0101328	4.3307611	3.9530542	3.7871875	3.4764979	3.3937323	3.2743077	3.6112491	3.2173423	4.7421878	4.1317214	4.5950792	4.1824767	3.1110672	4.4477437	3.3926292	4.4509815	3.0390194	3.0666886	4.1685457	4.8379747	4.0132489	3.9913878	3.0919483	3.2584314	4.6006522	3.2882953	2.7679349	4.1012813	3.9794915	3.367727	3.1982286	3.9017749	3.5841843	3.6529985	4.7236789	3.7166158	4.1126522	3.5746838	3.8959959	3.9687539	4.3329219	4.5152032	4.3038602	4.9443365	4.6486395	4.5014972
MUC1	4.2305476	3.4721866	5.0811376	5.8838245	3.9851667	4.1614569	4.531113	3.7831779	4.3087321	4.3757788	4.5109146	3.6798681	4.1033043	4.0798714	4.6979134	4.5776905	4.2724417	4.784984	3.5554022	4.0718732	4.3359731	4.7379767	4.6930488	4.6993466	4.1016906	4.300087	4.5010745	4.6349757	4.0967428	3.7263989	4.5492759	3.9745098	4.1140053	3.2741979	3.7912037	3.8483391	4.4259969	4.5278476	5.1804345	4.6135291	4.5695208	4.4767792	4.3171513	4.7633254	5.8167394	5.8937694	5.3229523	5.6178247	5.9901906
